raceId,driverId,stop,lap,time,duration,milliseconds
1124,822,1,1,14:06:22,26:22.542,1582542
1124,852,1,1,14:06:25,26:24.553,1584553
1124,839,1,1,14:06:28,26:26.095,1586095
1124,842,1,1,14:06:30,26:26.793,1586793
1124,840,1,1,14:06:35,26:25.911,1585911
1124,825,1,1,14:06:40,26:24.630,1584630
1124,858,1,1,14:06:43,26:25.267,1585267
1124,855,1,1,14:06:50,26:22.912,1582912
1124,807,2,5,14:40:46,23.622,23622
1124,822,2,6,14:42:21,24.824,24824
1124,852,2,7,14:43:59,23.358,23358
1124,855,2,7,14:44:07,23.910,23910
1124,846,2,11,14:50:21,23.049,23049
1124,855,3,11,14:51:01,26.653,26653
1124,857,2,12,14:52:06,23.420,23420
1124,840,2,12,14:52:17,23.358,23358
1124,4,2,13,14:53:43,22.998,22998
1124,815,2,15,14:56:51,22.990,22990
1124,832,2,15,14:56:55,23.136,23136
1124,830,2,16,14:58:23,23.177,23177
1124,842,2,16,14:59:18,23.844,23844
1124,839,2,19,15:04:11,23.394,23394
1124,847,2,22,15:08:39,23.577,23577
1124,825,2,22,15:09:03,26.198,26198
1124,822,3,22,15:09:04,25.946,25946
1124,858,2,22,15:09:04,25.530,25530
1124,852,3,22,15:09:05,23.486,23486
1124,840,3,22,15:09:06,23.238,23238
1124,1,2,23,15:10:21,23.333,23333
1124,844,2,26,15:15:01,23.285,23285
1124,846,3,26,15:15:02,23.232,23232
1124,857,3,32,15:25:00,22.848,22848
1124,842,3,32,15:26:03,23.102,23102
1124,815,3,33,15:26:18,22.956,22956
1124,4,3,33,15:26:33,23.157,23157
1124,807,3,33,15:27:22,23.993,23993
1124,839,3,33,15:27:33,24.181,24181
1124,830,3,34,15:27:43,23.234,23234
1124,840,4,34,15:28:58,22.911,22911
1124,858,3,34,15:29:04,24.220,24220
1124,832,3,36,15:31:14,23.591,23591
1124,847,3,37,15:33:07,22.991,22991
1124,1,3,39,15:36:25,23.956,23956
1124,858,4,41,15:41:24,23.287,23287
1125,807,1,8,15:17:30,23.004,23004
1125,852,1,8,15:17:35,23.160,23160
1125,855,1,8,15:17:39,23.362,23362
1125,840,1,9,15:19:10,23.823,23823
1125,822,1,9,15:19:12,22.949,22949
1125,839,1,9,15:19:14,23.156,23156
1125,848,1,9,15:19:15,23.273,23273
1125,1,1,9,15:19:19,22.518,22518
1125,4,1,11,15:22:28,23.049,23049
1125,847,1,11,15:22:32,22.415,22415
1125,842,1,11,15:22:43,39.712,39712
1125,858,1,12,15:24:34,23.229,23229
1125,830,1,13,15:25:33,22.456,22456
1125,815,1,13,15:25:43,22.027,22027
1125,817,1,14,15:27:53,22.598,22598
1125,857,1,16,15:31:03,22.673,22673
1125,832,1,17,15:32:49,22.629,22629
1125,825,1,17,15:33:13,22.974,22974
1125,844,1,21,15:39:34,22.360,22360
1125,840,2,21,15:40:07,22.911,22911
1125,1,2,21,15:40:23,22.662,22662
1125,846,1,22,15:41:37,22.161,22161
1125,830,2,23,15:43:44,22.270,22270
1125,815,2,23,15:44:03,22.371,22371
1125,4,2,23,15:44:21,22.687,22687
1125,847,2,23,15:44:25,22.707,22707
1125,807,2,23,15:44:41,23.336,23336
1125,839,2,23,15:44:48,23.208,23208
1125,852,2,23,15:44:54,22.387,22387
1125,848,2,23,15:44:57,23.600,23600
1125,855,2,23,15:45:02,25.610,25610
1125,842,2,23,15:45:12,23.987,23987
1125,857,2,24,15:46:41,22.262,22262
1125,858,2,24,15:47:14,22.684,22684
1125,840,3,26,15:51:46,1:33.274,93274
1125,825,2,27,15:54:22,25.727,25727
1125,840,4,35,16:10:09,34.777,34777
1125,842,3,38,16:15:11,22.836,22836
1125,855,3,40,16:18:35,23.252,23252
1125,4,3,43,16:23:18,23.179,23179
1126,848,1,10,16:19:16,22.828,22828
1126,840,1,11,16:20:48,23.038,23038
1126,858,1,11,16:20:52,22.611,22611
1126,822,1,11,16:20:55,23.730,23730
1126,807,1,12,16:22:21,23.055,23055
1126,842,1,12,16:22:22,22.466,22466
1126,815,1,17,16:29:57,21.695,21695
1126,844,1,19,16:32:56,21.825,21825
1126,839,1,22,16:38:08,22.663,22663
1126,4,1,22,16:38:11,22.374,22374
1126,825,1,22,16:38:18,23.265,23265
1126,830,1,23,16:39:17,22.187,22187
1126,847,1,24,16:41:18,22.800,22800
1126,1,1,26,16:44:23,22.107,22107
1126,857,1,27,16:45:31,22.216,22216
1126,832,1,27,16:45:33,22.805,22805
1126,815,2,28,16:47:40,22.396,22396
