raceId,driverId,lap,position,time,milliseconds
1121,830,1,1,1:37.284,97284
1121,830,2,1,1:36.296,96296
1121,830,3,1,1:36.753,96753
1121,830,4,1,1:36.647,96647
1121,830,5,1,1:37.173,97173
1121,830,6,1,1:37.092,97092
1121,830,7,1,1:37.038,97038
1121,830,8,1,1:37.024,97024
1121,830,9,1,1:37.229,97229
1121,830,10,1,1:36.960,96960
1121,830,11,1,1:37.085,97085
1121,830,12,1,1:37.045,97045
1121,830,13,1,1:37.030,97030
1121,830,14,1,1:37.028,97028
1121,830,15,1,1:37.011,97011
1121,830,16,1,1:37.168,97168
1121,830,17,1,1:39.896,99896
1121,830,18,1,1:57.854,117854
1121,830,19,1,1:35.283,95283
1121,830,20,1,1:35.160,95160
1121,830,21,1,1:35.316,95316
1121,830,22,1,1:35.204,95204
1121,830,23,1,1:35.216,95216
1121,830,24,1,1:35.289,95289
1121,830,25,1,1:35.342,95342
1121,830,26,1,1:35.223,95223
1121,830,27,1,1:35.581,95581
1121,830,28,1,1:35.477,95477
1121,830,29,1,1:35.793,95793
1121,830,30,1,1:35.771,95771
1121,830,31,1,1:35.679,95679
1121,830,32,1,1:35.886,95886
1121,830,33,1,1:35.863,95863
1121,830,34,1,1:36.133,96133
1121,830,35,1,1:36.018,96018
1121,830,36,1,1:36.205,96205
1121,830,37,1,1:39.234,99234
1121,830,38,1,1:56.445,116445
1121,830,39,1,1:32.608,92608
1121,830,40,1,1:36.589,96589
1121,830,41,1,1:35.290,95290
1121,830,42,1,1:34.667,94667
1121,830,43,1,1:34.151,94151
1121,830,44,1,1:34.531,94531
1121,830,45,1,1:34.249,94249
1121,830,46,1,1:34.193,94193
1121,830,47,1,1:34.239,94239
1121,830,48,1,1:34.350,94350
1121,830,49,1,1:34.403,94403
1121,830,50,1,1:34.783,94783
1121,830,51,1,1:34.340,94340
1121,830,52,1,1:34.906,94906
1121,830,53,1,1:35.600,95600
1121,830,54,1,1:35.334,95334
1121,830,55,1,1:35.184,95184
1121,830,56,1,1:34.671,94671
1121,830,57,1,1:34.923,94923
1121,844,1,2,1:38.271,98271
1121,844,2,2,1:36.862,96862
1121,844,3,3,1:38.062,98062
1121,844,4,3,1:37.752,97752
1121,844,5,3,1:38.131,98131
1121,844,6,3,1:37.782,97782
1121,844,7,4,1:38.957,98957
1121,844,8,4,1:38.136,98136
1121,844,9,4,1:37.844,97844
1121,844,10,4,1:37.884,97884
1121,844,11,6,1:41.737,101737
1121,844,12,13,1:57.471,117471
1121,844,13,9,1:36.432,96432
1121,844,14,8,1:36.756,96756
1121,844,15,6,1:36.813,96813
1121,844,16,4,1:36.673,96673
1121,844,17,5,1:37.302,97302
1121,844,18,5,1:37.438,97438
1121,844,19,5,1:36.821,96821
1121,844,20,5,1:36.794,96794
1121,844,21,5,1:36.977,96977
1121,844,22,5,1:36.796,96796
1121,844,23,5,1:36.987,96987
1121,844,24,5,1:36.924,96924
1121,844,25,5,1:36.760,96760
1121,844,26,5,1:36.810,96810
1121,844,27,5,1:36.831,96831
1121,844,28,5,1:36.907,96907
1121,844,29,5,1:36.963,96963
1121,844,30,5,1:37.158,97158
1121,844,31,4,1:37.031,97031
1121,844,32,4,1:36.941,96941
1121,844,33,4,1:36.741,96741
1121,844,34,4,1:39.614,99614
1121,844,35,6,1:56.166,116166
1121,844,36,5,1:34.090,94090
1121,844,37,5,1:34.897,94897
1121,844,38,5,1:34.783,94783
1121,844,39,5,1:35.087,95087
1121,844,40,5,1:34.859,94859
1121,844,41,5,1:35.028,95028
1121,844,42,5,1:34.982,94982
1121,844,43,5,1:35.192,95192
1121,844,44,5,1:35.051,95051
1121,844,45,5,1:35.220,95220
1121,844,46,4,1:35.058,95058
1121,844,47,4,1:35.057,95057
1121,844,48,4,1:35.308,95308
1121,844,49,4,1:35.302,95302
1121,844,50,4,1:35.383,95383
1121,844,51,4,1:35.418,95418
1121,844,52,4,1:35.394,95394
1121,844,53,4,1:35.480,95480
1121,844,54,4,1:35.265,95265
1121,844,55,4,1:35.785,95785
1121,844,56,4,1:35.924,95924
1121,844,57,4,1:36.324,96324
1121,847,1,3,1:39.228,99228
1121,847,2,3,1:36.635,96635
1121,847,3,2,1:36.406,96406
1121,847,4,2,1:37.738,97738
1121,847,5,2,1:38.116,98116
1121,847,6,2,1:37.784,97784
1121,847,7,2,1:38.082,98082
1121,847,8,2,1:37.862,97862
1121,847,9,2,1:37.730,97730
1121,847,10,2,1:37.782,97782
1121,847,11,4,1:40.515,100515
1121,847,12,11,1:58.460,118460
1121,847,13,7,1:37.167,97167
1121,847,14,7,1:37.571,97571
1121,847,15,4,1:36.922,96922
1121,847,16,3,1:36.683,96683
1121,847,17,3,1:36.234,96234
1121,847,18,4,1:37.819,97819
1121,847,19,4,1:37.233,97233
1121,847,20,4,1:36.732,96732
1121,847,21,4,1:36.769,96769
1121,847,22,4,1:36.992,96992
1121,847,23,4,1:36.954,96954
1121,847,24,4,1:36.736,96736
1121,847,25,4,1:36.928,96928
1121,847,26,4,1:36.801,96801
1121,847,27,4,1:36.815,96815
1121,847,28,4,1:36.911,96911
1121,847,29,4,1:37.066,97066
1121,847,30,4,1:37.186,97186
1121,847,31,5,1:39.405,99405
1121,847,32,9,1:57.267,117267
1121,847,33,9,1:35.838,95838
1121,847,34,6,1:35.241,95241
1121,847,35,4,1:35.772,95772
1121,847,36,4,1:35.434,95434
1121,847,37,4,1:35.481,95481
1121,847,38,4,1:35.479,95479
1121,847,39,4,1:35.204,95204
1121,847,40,4,1:35.065,95065
1121,847,41,4,1:35.093,95093
1121,847,42,4,1:35.136,95136
1121,847,43,4,1:35.193,95193
1121,847,44,4,1:35.162,95162
1121,847,45,4,1:35.276,95276
1121,847,46,5,1:36.657,96657
1121,847,47,5,1:35.805,95805
1121,847,48,5,1:36.059,96059
1121,847,49,5,1:35.954,95954
1121,847,50,5,1:36.181,96181
1121,847,51,5,1:35.852,95852
1121,847,52,5,1:36.186,96186
1121,847,53,5,1:35.979,95979
1121,847,54,5,1:36.013,96013
1121,847,55,5,1:36.151,96151
1121,847,56,5,1:36.350,96350
1121,847,57,5,1:36.440,96440
1121,815,1,4,1:40.053,100053
1121,815,2,4,1:36.541,96541
1121,815,3,4,1:37.297,97297
1121,815,4,4,1:37.722,97722
1121,815,5,4,1:38.044,98044
1121,815,6,4,1:37.823,97823
1121,815,7,3,1:37.821,97821
1121,815,8,3,1:37.838,97838
1121,815,9,3,1:37.596,97596
1121,815,10,3,1:37.630,97630
1121,815,11,2,1:37.836,97836
1121,815,12,3,1:40.277,100277
1121,815,13,8,1:57.624,117624
1121,815,14,6,1:35.606,95606
1121,815,15,3,1:36.815,96815
1121,815,16,2,1:35.783,95783
1121,815,17,2,1:36.454,96454
1121,815,18,2,1:36.311,96311
1121,815,19,2,1:36.038,96038
1121,815,20,2,1:36.278,96278
1121,815,21,2,1:36.165,96165
1121,815,22,2,1:36.037,96037
1121,815,23,2,1:36.249,96249
1121,815,24,2,1:36.211,96211
1121,815,25,2,1:36.344,96344
1121,815,26,2,1:36.347,96347
1121,815,27,2,1:36.233,96233
1121,815,28,2,1:36.226,96226
1121,815,29,2,1:36.437,96437
1121,815,30,2,1:36.313,96313
1121,815,31,2,1:36.339,96339
1121,815,32,2,1:36.276,96276
1121,815,33,2,1:36.564,96564
1121,815,34,2,1:36.378,96378
1121,815,35,2,1:36.776,96776
1121,815,36,2,1:39.365,99365
1121,815,37,2,1:55.808,115808
1121,815,38,2,1:34.804,94804
1121,815,39,2,1:34.607,94607
1121,815,40,2,1:34.364,94364
1121,815,41,2,1:34.400,94400
1121,815,42,2,1:34.525,94525
1121,815,43,2,1:34.797,94797
1121,815,44,2,1:34.799,94799
1121,815,45,2,1:34.592,94592
1121,815,46,2,1:34.844,94844
1121,815,47,2,1:34.730,94730
1121,815,48,2,1:34.885,94885
1121,815,49,2,1:34.966,94966
1121,815,50,2,1:35.082,95082
1121,815,51,2,1:34.940,94940
1121,815,52,2,1:35.183,95183
1121,815,53,2,1:35.842,95842
1121,815,54,2,1:35.459,95459
1121,815,55,2,1:35.611,95611
1121,815,56,2,1:35.568,95568
1121,815,57,2,1:35.746,95746
1121,832,1,5,1:40.620,100620
1121,832,2,5,1:37.236,97236
1121,832,3,5,1:37.080,97080
1121,832,4,5,1:37.264,97264
1121,832,5,5,1:38.032,98032
1121,832,6,5,1:37.741,97741
1121,832,7,5,1:38.260,98260
1121,832,8,5,1:38.183,98183
1121,832,9,5,1:38.030,98030
1121,832,10,5,1:37.608,97608
1121,832,11,3,1:37.656,97656
1121,832,12,2,1:37.650,97650
1121,832,13,2,1:37.243,97243
1121,832,14,2,1:39.753,99753
1121,832,15,7,1:57.225,117225
1121,832,16,5,1:36.376,96376
1121,832,17,4,1:35.507,95507
1121,832,18,3,1:36.088,96088
1121,832,19,3,1:36.236,96236
1121,832,20,3,1:36.034,96034
1121,832,21,3,1:36.104,96104
1121,832,22,3,1:36.008,96008
1121,832,23,3,1:36.149,96149
1121,832,24,3,1:36.200,96200
1121,832,25,3,1:36.220,96220
1121,832,26,3,1:36.221,96221
1121,832,27,3,1:36.272,96272
1121,832,28,3,1:36.534,96534
1121,832,29,3,1:36.600,96600
1121,832,30,3,1:36.337,96337
1121,832,31,3,1:36.537,96537
1121,832,32,3,1:36.762,96762
1121,832,33,3,1:36.556,96556
1121,832,34,3,1:36.551,96551
1121,832,35,3,1:39.274,99274
1121,832,36,3,1:55.620,115620
1121,832,37,3,1:35.302,95302
1121,832,38,3,1:35.100,95100
1121,832,39,3,1:34.709,94709
1121,832,40,3,1:34.739,94739
1121,832,41,3,1:35.041,95041
1121,832,42,3,1:34.861,94861
1121,832,43,3,1:34.795,94795
1121,832,44,3,1:34.507,94507
1121,832,45,3,1:34.790,94790
1121,832,46,3,1:34.853,94853
1121,832,47,3,1:34.901,94901
1121,832,48,3,1:34.981,94981
1121,832,49,3,1:35.440,95440
1121,832,50,3,1:35.142,95142
1121,832,51,3,1:35.282,95282
1121,832,52,3,1:35.083,95083
1121,832,53,3,1:35.211,95211
1121,832,54,3,1:35.309,95309
1121,832,55,3,1:35.407,95407
1121,832,56,3,1:35.305,95305
1121,832,57,3,1:35.327,95327
1121,4,1,6,1:41.679,101679
1121,4,2,6,1:38.020,98020
1121,4,3,7,1:39.046,99046
1121,4,4,7,1:37.776,97776
1121,4,5,8,1:39.292,99292
1121,4,6,8,1:38.053,98053
1121,4,7,8,1:38.008,98008
1121,4,8,8,1:38.103,98103
1121,4,9,8,1:38.896,98896
1121,4,10,9,1:39.325,99325
1121,4,11,9,1:38.554,98554
1121,4,12,6,1:38.543,98543
1121,4,13,4,1:38.587,98587
1121,4,14,3,1:38.612,98612
1121,4,15,2,1:41.101,101101
1121,4,16,10,1:58.814,118814
1121,4,17,9,1:36.970,96970
1121,4,18,9,1:37.361,97361
1121,4,19,9,1:37.072,97072
1121,4,20,9,1:37.357,97357
1121,4,21,9,1:37.342,97342
1121,4,22,9,1:37.122,97122
1121,4,23,9,1:37.265,97265
1121,4,24,9,1:37.046,97046
1121,4,25,9,1:37.179,97179
1121,4,26,9,1:37.638,97638
1121,4,27,9,1:36.945,96945
1121,4,28,9,1:37.256,97256
1121,4,29,9,1:37.104,97104
1121,4,30,9,1:36.982,96982
1121,4,31,9,1:36.957,96957
1121,4,32,8,1:37.056,97056
1121,4,33,8,1:37.202,97202
1121,4,34,7,1:37.601,97601
1121,4,35,5,1:37.273,97273
1121,4,36,7,1:38.343,98343
1121,4,37,7,1:36.799,96799
1121,4,38,7,1:37.297,97297
1121,4,39,8,1:37.946,97946
1121,4,40,9,1:38.061,98061
1121,4,41,9,1:40.261,100261
1121,4,42,11,1:56.899,116899
1121,4,43,11,1:35.107,95107
1121,4,44,10,1:34.981,94981
1121,4,45,10,1:34.872,94872
1121,4,46,10,1:35.126,95126
1121,4,47,10,1:35.225,95225
1121,4,48,9,1:34.199,94199
1121,4,49,9,1:34.571,94571
1121,4,50,9,1:34.677,94677
1121,4,51,9,1:34.916,94916
1121,4,52,9,1:34.862,94862
1121,4,53,9,1:35.249,95249
1121,4,54,9,1:35.745,95745
1121,4,55,9,1:35.066,95066
1121,4,56,9,1:35.014,95014
1121,4,57,9,1:35.276,95276
1121,846,1,7,1:42.168,102168
