constructorResultsId,raceId,constructorId,points,status
17020,1134,131,25.0,\N
17021,1134,1,28.0,\N
17022,1134,6,23.0,\N
17023,1134,9,19.0,\N
17024,1134,117,4.0,\N
17025,1134,214,2.0,\N
17026,1134,215,1.0,\N
17027,1134,3,0.0,\N
17028,1134,210,0.0,\N
17029,1134,15,0.0,\N
17030,1135,1,38.0,\N
17031,1135,9,26.0,\N
17032,1135,6,25.0,\N
17033,1135,131,10.0,\N
17034,1135,214,2.0,\N
17035,1135,117,1.0,\N
17036,1135,210,0.0,\N
17037,1135,215,0.0,\N
17038,1135,3,0.0,\N
17039,1135,15,0.0,\N
17040,1136,6,37.0,\N
17041,1136,1,34.0,\N
17042,1136,131,16.0,\N
17043,1136,9,12.0,\N
17044,1136,3,2.0,\N
17045,1136,210,1.0,\N
17046,1136,117,0.0,\N
17047,1136,215,0.0,\N
17048,1136,214,0.0,\N
17049,1136,15,0.0,\N
17050,1137,1,38.0,\N
17051,1137,6,18.0,\N
17052,1137,131,17.0,\N
17053,1137,9,10.0,\N
17054,1137,117,8.0,\N
17055,1137,3,10.0,\N
17056,1137,210,1.0,\N
17057,1137,214,0.0,\N
17058,1137,215,0.0,\N
17059,1137,15,0.0,\N
17060,1138,1,40.0,\N
17061,1138,9,19.0,\N
17062,1138,131,20.0,\N
17063,1138,6,16.0,\N
17064,1138,117,4.0,\N
17065,1138,210,2.0,\N
17066,1138,3,0.0,\N
17067,1138,215,0.0,\N
17068,1138,214,0.0,\N
17069,1138,15,0.0,\N
17070,1139,6,55.0,\N
17071,1139,9,29.0,\N
17072,1139,1,28.0,\N
17073,1139,131,15.0,\N
17074,1139,210,7.0,\N
17075,1139,215,2.0,\N
17076,1139,3,1.0,\N
17077,1139,214,0.0,\N
17078,1139,117,0.0,\N
17079,1139,15,0.0,\N
17080,1140,6,41.0,\N
17081,1140,1,22.0,\N
17082,1140,131,22.0,\N
17083,1140,9,8.0,\N
17084,1140,210,8.0,\N
17085,1140,214,1.0,\N
17086,1140,117,0.0,\N
17087,1140,3,0.0,\N
17088,1140,15,0.0,\N
17089,1140,215,0.0,\N
17090,1141,9,32.0,\N
17091,1141,214,35.0,\N
17092,1141,131,16.0,\N
17093,1141,6,20.0,\N
17094,1141,1,27.0,\N
17095,1141,215,8.0,\N
17096,1141,210,0.0,\N
17097,1141,15,0.0,\N
17098,1141,117,0.0,\N
17099,1141,3,0.0,\N
17100,1142,131,43.0,\N
17101,1142,6,27.0,\N
17102,1142,9,11.0,\N
17103,1142,1,15.0,\N
17104,1142,210,4.0,\N
17105,1142,215,2.0,\N
17106,1142,117,0.0,\N
17107,1142,15,0.0,\N
17108,1142,3,0.0,\N
17109,1142,214,0.0,\N
17110,1143,9,26.0,\N
17111,1143,6,35.0,\N
17112,1143,1,32.0,\N
17113,1143,131,21.0,\N
17114,1143,214,10.0,\N
17115,1143,117,6.0,\N
17116,1143,15,4.0,\N
17117,1143,210,4.0,\N
17118,1143,215,0.0,\N
17119,1143,3,0.0,\N
17120,1144,1,26.0,\N
17121,1144,6,33.0,\N
17122,1144,131,22.0,\N
17123,1144,9,8.0,\N
17124,1144,214,6.0,\N
17125,1144,210,4.0,\N
17126,1144,117,2.0,\N
17127,1144,3,0.0,\N
17128,1144,215,0.0,\N
17129,1144,15,0.0,\N
