driverStandingsId,raceId,driverId,points,position,positionText,wins
72772,1128,846,113.0,3,3,1
72768,1128,815,107.0,5,5,0
72787,1128,860,6.0,12,12,0
72785,1128,822,0.0,20,20,0
72783,1128,839,1.0,16,16,0
72782,1128,807,6.0,13,13,0
72777,1128,855,0.0,19,19,0
72767,1128,830,169.0,1,1,5
72776,1128,840,11.0,11,11,0
72773,1128,1,42.0,8,8,0
72771,1128,847,54.0,7,7,0
72770,1128,844,138.0,2,2,1
72769,1128,832,108.0,4,4,1
72788,1129,830,194.0,1,1,6
72789,1129,815,107.0,5,5,0
72790,1129,832,108.0,4,4,1
72791,1129,844,138.0,2,2,1
72792,1129,847,69.0,7,7,0
72793,1129,846,131.0,3,3,1
72794,1129,1,55.0,8,8,0
72795,1129,857,81.0,6,6,0
72796,1129,4,41.0,9,9,0
72797,1129,840,17.0,11,11,0
72798,1129,855,0.0,19,19,0
72799,1129,825,1.0,18,18,0
72800,1129,817,9.0,12,12,0
72801,1129,852,19.0,10,10,0
72802,1129,848,2.0,16,16,0
72803,1129,807,6.0,14,14,0
72804,1129,839,2.0,17,17,0
72805,1129,842,3.0,15,15,0
72806,1129,822,0.0,20,20,0
72807,1129,858,0.0,21,21,0
72808,1129,860,6.0,13,13,0
72809,1130,830,219.0,1,1,7
72810,1130,815,111.0,5,5,0
72811,1130,832,116.0,4,4,1
72812,1130,844,148.0,3,3,1
72813,1130,847,81.0,7,7,0
72814,1130,846,150.0,2,2,1
72815,1130,1,70.0,8,8,0
72816,1130,857,87.0,6,6,0
72817,1130,4,41.0,9,9,0
72818,1130,840,17.0,11,11,0
72819,1130,855,0.0,19,19,0
72820,1130,825,1.0,18,18,0
72821,1130,817,9.0,12,12,0
72822,1130,852,19.0,10,10,0
72823,1130,848,2.0,17,17,0
72824,1130,807,6.0,14,14,0
72825,1130,839,3.0,16,16,0
72826,1130,842,5.0,15,15,0
72827,1130,822,0.0,20,20,0
72828,1130,858,0.0,21,21,0
72829,1130,860,6.0,13,13,0
72830,1131,830,237.0,1,1,7
72831,1131,815,118.0,5,5,0
72832,1131,832,135.0,4,4,1
72833,1131,844,150.0,3,3,1
72834,1131,847,111.0,7,7,1
72835,1131,846,156.0,2,2,1
72836,1131,1,85.0,8,8,0
72837,1131,857,112.0,6,6,0
72838,1131,4,41.0,9,9,0
72839,1131,840,17.0,11,11,0
72840,1131,855,0.0,19,19,0
72841,1131,825,5.0,16,16,0
72842,1131,817,11.0,13,13,0
72843,1131,852,19.0,10,10,0
72844,1131,848,2.0,18,18,0
72845,1131,807,14.0,12,12,0
72846,1131,839,3.0,17,17,0
72847,1131,842,6.0,15,15,0
72848,1131,822,0.0,20,20,0
72849,1131,858,0.0,21,21,0
72850,1131,860,6.0,14,14,0
72851,1132,830,255.0,1,1,7
72852,1132,815,118.0,6,6,0
72853,1132,832,146.0,4,4,1
72854,1132,844,150.0,3,3,1
72855,1132,847,111.0,7,7,1
72856,1132,846,171.0,2,2,1
72857,1132,1,110.0,8,8,1
72858,1132,857,124.0,5,5,0
72859,1132,4,45.0,9,9,0
72860,1132,840,23.0,10,10,0
72861,1132,855,0.0,19,19,0
72862,1132,825,5.0,16,16,0
72863,1132,817,11.0,13,13,0
72864,1132,852,20.0,12,12,0
72865,1132,848,4.0,17,17,0
72866,1132,807,22.0,11,11,0
72867,1132,839,3.0,18,18,0
72868,1132,842,6.0,15,15,0
72869,1132,822,0.0,21,21,0
72870,1132,858,0.0,20,20,0
72871,1132,860,6.0,14,14,0
72872,1133,830,265.0,1,1,7
72873,1133,815,124.0,7,7,0
72874,1133,832,154.0,4,4,1
72875,1133,844,162.0,3,3,1
72876,1133,847,116.0,8,8,1
72877,1133,846,189.0,2,2,1
72878,1133,1,125.0,6,6,1
72879,1133,857,149.0,5,5,1
72880,1133,4,45.0,9,9,0
72881,1133,840,24.0,10,10,0
72882,1133,855,0.0,19,19,0
72883,1133,825,5.0,16,16,0
72884,1133,817,11.0,13,13,0
72885,1133,852,22.0,12,12,0
72886,1133,848,4.0,17,17,0
72887,1133,807,22.0,11,11,0
72888,1133,839,3.0,18,18,0
72889,1133,842,6.0,15,15,0
72890,1133,822,0.0,21,21,0
72891,1133,858,0.0,20,20,0
72892,1133,860,6.0,14,14,0
72977,1135,830,295.0,1,1,7
72976,1134,860,6.0,14,14,0
72975,1134,858,0.0,20,20,0
72974,1134,822,0.0,21,21,0
72973,1134,842,6.0,15,15,0
72972,1134,839,5.0,17,17,0
72971,1134,807,22.0,11,11,0
72970,1134,848,4.0,18,18,0
72969,1134,852,22.0,12,12,0
72968,1134,817,12.0,13,13,0
72967,1134,825,5.0,16,16,0
72966,1134,855,0.0,19,19,0
72956,1134,830,277.0,1,1,7
72957,1134,815,131.0,7,7,0
72958,1134,832,162.0,5,5,1
72959,1134,844,177.0,3,3,1
72960,1134,847,116.0,8,8,1
72961,1134,846,199.0,2,2,1
72962,1134,1,150.0,6,6,2
72963,1134,857,167.0,4,4,1
72964,1134,4,49.0,9,9,0
72965,1134,840,24.0,10,10,0
72978,1135,815,139.0,7,7,0
72979,1135,832,172.0,5,5,1
72980,1135,844,192.0,3,3,1
72981,1135,847,122.0,8,8,1
72982,1135,846,225.0,2,2,2
72983,1135,1,154.0,6,6,2
72984,1135,857,179.0,4,4,1
72985,1135,4,50.0,9,9,0
72986,1135,840,24.0,10,10,0
72987,1135,855,0.0,19,19,0
72988,1135,825,5.0,16,16,0
72989,1135,817,12.0,13,13,0
72990,1135,852,22.0,12,12,0
72991,1135,848,4.0,18,18,0
72992,1135,807,22.0,11,11,0
72993,1135,839,5.0,17,17,0
72994,1135,842,8.0,14,14,0
72995,1135,822,0.0,21,21,0
72996,1135,858,0.0,20,20,0
72997,1135,860,6.0,15,15,0
73038,1136,822,0.0,22,22,0
73037,1136,842,8.0,14,14,0
73036,1136,839,5.0,18,18,0
73035,1136,807,22.0,11,11,0
73034,1136,848,6.0,17,17,0
73033,1136,852,22.0,12,12,0
73032,1136,817,12.0,13,13,0
73031,1136,825,6.0,16,16,0
73030,1136,855,0.0,19,19,0
73029,1136,840,24.0,10,10,0
73028,1136,4,50.0,9,9,0
73027,1136,857,197.0,4,4,1
73026,1136,1,164.0,6,6,2
73025,1136,846,241.0,2,2,2
73024,1136,847,128.0,8,8,1
73023,1136,844,217.0,3,3,2
73022,1136,832,184.0,5,5,1
73021,1136,815,143.0,7,7,0
73020,1136,830,303.0,1,1,7
73039,1136,858,0.0,20,20,0
73040,1136,860,6.0,15,15,0
73041,1136,861,0.0,21,21,0
73042,1137,830,313.0,1,1,7
73043,1137,815,143.0,8,8,0
73044,1137,832,184.0,5,5,1
73045,1137,844,235.0,3,3,2
73046,1137,847,143.0,7,7,1
73047,1137,846,254.0,2,2,2
73048,1137,1,166.0,6,6,2
73049,1137,857,222.0,4,4,2
73050,1137,4,58.0,9,9,0
73051,1137,840,24.0,10,10,0
73052,1137,855,0.0,20,20,0
73053,1137,825,6.0,17,17,0
73054,1137,817,12.0,14,14,0
73055,1137,852,22.0,12,12,0
73056,1137,848,12.0,13,13,0
73057,1137,807,22.0,11,11,0
73058,1137,839,5.0,18,18,0
73059,1137,842,8.0,15,15,0
73060,1137,822,0.0,22,22,0
73061,1137,858,0.0,21,21,0
73062,1137,860,7.0,16,16,0
73063,1137,861,4.0,19,19,0
73064,1138,830,331.0,1,1,7
73065,1138,815,144.0,8,8,0
73066,1138,832,190.0,5,5,1
73067,1138,844,245.0,3,3,2
73068,1138,847,155.0,7,7,1
73069,1138,846,279.0,2,2,3
73070,1138,1,174.0,6,6,2
73071,1138,857,237.0,4,4,2
